Gender,Education,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,year,month,day,cancel_year,cancel_month,tenure,NumFlights,NumFlightsWithCompanions,DistanceKM,PointsAccumulated,PointsRedeemed
male,Bachelor,43578.0,Married,Star,3890.96,Standard,2016,7,15,,,,183.1,57.6,359437.0,35937.1,0.0
female,Bachelor,31409.0,Married,Star,3891.54,Standard,2018,11,22,,,,294.4,63.800000000000004,709722.0,70961.8,22000.7
male,College,0.0,Married,Star,3891.58,Standard,2017,3,4,,,,186.1,38.8,337413.3,33735.33,3206.0
female,Bachelor,26605.0,Married,Star,3893.31,Standard,2018,4,6,2018.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
male,Bachelor,52361.0,Single,Star,3895.03,Standard,2020,10,24,,,,77.9,18.0,183740.2,18369.92,0.0
male,High School or Below,10853.0,Married,Star,3896.57,Standard,2015,11,19,,,,266.7,104.2,446761.3,44664.93,42811.3
female,Bachelor,60068.0,Married,Star,3903.47,Standard,2021,5,3,,,,50.0,6.0,126460.0,12642.0,4653.0
female,Bachelor,51833.0,Divorced,Star,3903.8,Standard,2020,5,8,,,,145.3,39.7,271815.3,27176.13,8116.0
male,Bachelor,60230.0,Married,Star,3906.67,2021 Promotion,2021,2,15,,,,187.8,52.0,283610.6,28355.06,5137.6
male,Bachelor,60230.0,Married,Star,3906.67,Standard,2016,5,19,,,,242.5,56.9,410443.5,41036.05,5061.0
male,College,0.0,Single,Star,3907.03,Standard,2015,5,2,,,,233.3,64.8,535390.6,53530.86,0.0
female,Bachelor,30821.0,Married,Star,3911.12,Standard,2020,3,8,2020.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
female,College,0.0,Single,Star,3914.72,Standard,2017,6,26,,,,139.4,32.0,404554.7,40448.67,8162.4
female,College,0.0,Single,Star,3914.72,Standard,2016,2,24,,,,160.6,36.7,363147.2,36306.52,10199.2
female,College,0.0,Single,Star,3915.8,Standard,2019,5,15,,,,140.3,36.5,269961.2,26990.920000000002,4383.0
male,Bachelor,66676.0,Married,Star,3919.37,Standard,2019,5,12,,,,258.2,50.8,431599.3,43152.03,9776.0
male,Bachelor,66676.0,Married,Star,3919.37,Standard,2019,9,17,,,,185.1,53.9,353867.0,35380.2,18588.4
female,Bachelor,66676.0,Married,Star,3919.37,Standard,2019,6,3,2020.0,2.0,1.0,19.0,7.6,48560.2,4855.22,0.0
male,Bachelor,66676.0,Married,Star,3919.37,Standard,2021,6,20,,,,31.0,7.0,34535.0,3453.0,0.0
male,Bachelor,66676.0,Married,Star,3919.37,Standard,2021,5,9,,,,55.0,8.0,147741.0,14771.0,0.0
female,College,0.0,Married,Star,3920.51,Standard,2018,2,28,,,,186.8,70.3,305718.3,30563.93,8880.6
female,Bachelor,62445.0,Married,Star,3921.02,Standard,2018,8,15,,,,199.7,44.5,468380.5,46827.65,11810.0
male,Bachelor,62445.0,Married,Star,3921.02,Standard,2017,10,27,,,,185.2,53.0,391966.7,39191.37,10643.2
female,Bachelor,56480.0,Single,Star,3924.42,Standard,2019,11,10,2020.0,7.0,1.0,98.8,19.0,197172.5,19714.75,0.0
female,Bachelor,25927.0,Single,Star,3933.81,Standard,2017,3,28,,,,234.2,45.7,312140.4,31206.74,0.0
female,High School or Below,20920.0,Married,Star,3934.1,Standard,2015,11,2,,,,207.3,78.3,505415.1,50533.41,20941.8
male,Bachelor,84229.0,Married,Star,3934.71,Standard,2020,3,25,,,,136.5,26.4,263235.7,26318.37,0.0
female,Doctor,19245.0,Married,Star,3936.79,Standard,2016,12,2,,,,231.0,54.1,513775.1,51369.51,0.0
female,Bachelor,60021.0,Married,Star,3939.01,Standard,2017,9,3,,,,193.9,74.0,391451.2,39136.32,5019.0
male,Bachelor,60021.0,Married,Star,3939.01,Standard,2016,11,25,,,,178.6,33.2,357115.5,35705.15,23422.8
male,Bachelor,60021.0,Married,Star,3939.01,Standard,2015,12,15,,,,222.4,50.6,386554.8,38646.18,12089.7
female,Bachelor,60021.0,Married,Star,3939.01,Standard,2021,6,3,,,,212.4,57.0,419018.0,41894.1,18192.1
male,Doctor,18375.0,Married,Star,3954.34,Standard,2016,6,13,,,,251.3,54.9,423218.2,42311.52,4252.2
male,Doctor,18375.0,Married,Star,3954.34,Standard,2018,9,5,,,,187.5,51.5,314274.5,31420.35,12508.0
male,Doctor,18375.0,Married,Star,3954.34,Standard,2021,10,15,,,,6.0,0.0,23987.0,2398.0,0.0
male,Doctor,18375.0,Married,Star,3954.34,Standard,2018,8,27,,,,250.2,50.4,378413.9,37834.590000000004,14980.5
female,Doctor,18375.0,Married,Star,3954.34,Standard,2019,5,7,,,,255.9,72.0,361537.2,36145.520000000004,19887.2
female,Doctor,18375.0,Married,Star,3954.34,2021 Promotion,2021,4,17,,,,89.3,28.5,240975.1,24095.61,9049.7
female,College,0.0,Married,Star,3958.0,Standard,2015,9,4,,,,231.5,84.3,487033.8,48697.08,4864.0
male,College,0.0,Single,Star,3961.59,2021 Promotion,2015,8,27,,,,0.0,0.0,0.0,0.0,0.0
female,Bachelor,88701.0,Married,Star,3963.39,Standard,2016,7,22,,,,167.6,62.3,272882.9,27279.69,13960.0
male,Bachelor,38096.0,Divorced,Star,3963.4,2021 Promotion,2021,4,4,,,,52.0,24.0,88193.0,8816.0,0.0
male,Doctor,23474.0,Divorced,Star,3964.15,Standard,2015,5,27,,,,257.1,37.4,542548.4,54243.84,13301.9
male,High School or Below,14616.0,Married,Star,3964.53,Standard,2019,2,13,,,,149.5,42.1,289353.9,28931.19,14199.0
female,Bachelor,60817.0,Single,Star,3964.73,Standard,2021,9,21,2019.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0
male,Bachelor,72439.0,Married,Star,3966.13,2021 Promotion,2021,3,18,,,,58.0,13.0,95646.0,9562.0,0.0
female,Bachelor,72439.0,Married,Star,3966.13,Standard,2015,11,3,,,,136.2,26.5,345899.7,34582.77,3884.0
male,College,0.0,Divorced,Star,3974.86,Standard,2016,5,3,,,,186.0,53.4,376675.4,37657.840000000004,45023.5
female,College,0.0,Divorced,Star,3974.86,Standard,2020,10,23,,,,98.3,30.4,180694.2,18064.92,17148.8
female,Bachelor,39101.0,Married,Star,3978.67,Standard,2021,7,17,2019.0,3.0,-2.0,38.0,3.0,46838.0,4683.0,0.0
female,Bachelor,96413.0,Married,Star,3979.72,Standard,2020,5,15,,,,67.3,17.8,242338.7,24230.97,0.0
female,Bachelor,98333.0,Married,Star,3980.42,Standard,2016,3,26,,,,130.7,37.8,268011.7,26796.27,40394.0
male,Master,17220.0,Married,Star,3985.32,Standard,2016,1,14,,,,220.0,62.9,541874.8,54180.38,15904.8
female,Master,17220.0,Married,Star,3985.32,Standard,2016,4,30,,,,213.0,49.3,451126.1,45104.91,16678.9
male,Bachelor,75007.0,Divorced,Star,3985.55,Standard,2019,6,12,,,,226.9,59.8,463259.9,46315.29,9601.1
female,Bachelor,54964.0,Married,Star,3991.73,Standard,2016,4,17,2018.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
male,College,0.0,Married,Star,3992.58,Standard,2016,8,19,2017.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
female,College,0.0,Single,Star,3995.36,Standard,2021,9,25,,,,12.0,0.0,24808.0,2480.0,0.0
female,Bachelor,46210.0,Married,Star,3996.77,Standard,2020,4,3,2020.0,12.0,0.0,81.7,17.1,165529.9,16549.89,0.0
female,College,0.0,Single,Star,3997.48,Standard,2021,8,4,,,,15.0,9.0,27142.0,2713.0,4552.0
female,Master,19782.0,Divorced,Star,4001.52,Standard,2020,7,3,,,,128.3,31.3,350346.8,35028.88,0.0
female,Bachelor,28987.0,Married,Star,4005.72,Standard,2018,3,21,,,,230.20000000000002,78.2,360861.1,36080.01,13702.8
female,Doctor,15413.0,Married,Star,4013.85,Standard,2016,4,24,,,,216.6,64.8,485373.3,48529.03,20858.2
male,Bachelor,56586.0,Married,Star,4013.95,Standard,2016,3,5,,,,169.8,38.4,512496.6,51241.86,2947.0
female,Bachelor,93284.0,Married,Star,4013.96,Standard,2020,8,20,,,,129.4,24.8,279048.3,27897.83,8618.4
male,Bachelor,37384.0,Married,Star,4014.45,Standard,2018,12,11,,,,156.8,50.7,326542.8,32648.98,23693.1
male,Bachelor,37384.0,Married,Star,4014.45,Standard,2017,5,17,,,,180.5,35.5,376689.1,37663.61,9549.4
male,College,0.0,Married,Star,4015.21,Standard,2018,6,16,2019.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
female,Bachelor,80055.0,Married,Star,4015.34,2021 Promotion,2021,2,17,,,,192.9,50.7,375707.2,37563.72,0.0
female,High School or Below,10074.0,Married,Star,4016.13,Standard,2019,11,22,,,,199.2,42.3,356435.1,35638.21,9946.5
female,College,0.0,Single,Star,4016.54,Standard,2018,4,16,2018.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
female,College,0.0,Divorced,Star,4019.38,Standard,2016,4,7,,,,157.8,25.8,383275.7,38322.77,6560.7
female,College,0.0,Divorced,Star,4019.38,Standard,2017,7,6,,,,155.3,43.7,206787.9,20675.489999999998,0.0
female,Bachelor,41833.0,Married,Star,4023.81,Standard,2019,5,8,,,,258.3,95.9,435086.7,43499.57,27489.1
male,Bachelor,41833.0,Married,Star,4023.81,Standard,2018,3,13,,,,142.6,14.4,346570.8,34651.18,11878.8
male,College,0.0,Married,Star,4025.1,Standard,2020,9,2,,,,92.4,13.5,94183.1,9411.61,11561.5
female,Bachelor,21359.0,Married,Star,4035.68,Standard,2017,2,12,,,,241.1,76.9,482984.1,48289.51,9336.0
female,College,0.0,Married,Star,4035.77,Standard,2020,1,25,,,,191.6,52.800000000000004,519252.2,51918.92,8038.9
female,Bachelor,90760.0,Married,Star,4037.5,Standard,2018,11,5,,,,141.2,65.2,402204.1,40211.11,24747.7
female,High School or Below,21586.0,Married,Star,4037.55,Standard,2018,7,14,,,,252.5,51.5,509069.3,50899.33,16873.9
female,Doctor,13330.0,Single,Star,4046.94,Standard,2016,3,20,,,,215.9,42.0,275946.1,27586.01,19207.1
female,Doctor,13330.0,Single,Star,4046.94,Standard,2019,9,27,2020.0,5.0,1.0,64.6,22.8,156136.3,15610.93,13075.8
male,Bachelor,92801.0,Married,Star,4048.16,Standard,2020,5,21,,,,150.2,69.4,410938.3,41086.53,23369.0
male,Bachelor,44661.0,Married,Star,4053.37,Standard,2016,5,12,,,,128.6,36.8,310530.0,31048.3,19483.0
female,Doctor,11621.0,Divorced,Star,4059.57,Standard,2019,6,6,,,,134.5,41.3,278465.8,27840.58,21573.7
male,College,0.0,Married,Star,4064.11,2021 Promotion,2021,4,24,2021.0,12.0,0.0,41.0,8.0,81823.0,8180.0,0.0
male,Bachelor,26599.0,Married,Star,4064.18,Standard,2016,9,25,,,,232.0,73.8,505543.1,50544.41,10212.5
female,College,0.0,Married,Star,4068.09,Standard,2020,2,7,,,,179.3,32.4,268587.3,26849.53,5912.0
female,Bachelor,37435.0,Single,Star,4070.05,Standard,2017,7,6,,,,249.0,55.8,558371.4,55829.54,19489.9
male,Bachelor,96443.0,Single,Star,4072.85,Standard,2020,9,5,,,,70.4,23.9,201306.7,20127.47,4631.0
female,Bachelor,29549.0,Divorced,Star,4076.63,2021 Promotion,2021,2,18,,,,59.0,5.0,138382.0,13836.0,2417.0
male,College,0.0,Married,Star,4079.13,Standard,2020,6,3,,,,142.3,35.3,268737.7,26867.77,18126.8
male,Doctor,13483.0,Married,Star,4083.56,Standard,2017,7,13,,,,159.8,18.7,398249.2,39815.62,7339.0
male,Doctor,13483.0,Married,Star,4083.56,Standard,2021,8,16,,,,31.0,8.0,63110.0,6310.0,0.0
female,Bachelor,24123.0,Married,Star,4087.51,Standard,2018,2,20,2021.0,6.0,3.0,148.9,15.2,271320.4,27129.04,7634.2
female,Bachelor,43177.0,Married,Star,4089.04,Standard,2021,1,17,,,,20.0,7.0,30954.0,3094.0,0.0
male,Bachelor,60759.0,Single,Star,4089.46,Standard,2015,6,24,,,,179.0,35.7,372660.4,37254.54,20617.5
male,Bachelor,38884.0,Married,Star,4090.75,Standard,2018,6,9,2021.0,11.0,3.0,202.5,52.9,453682.5,45361.85,12220.8
female,Bachelor,32180.0,Married,Star,4095.2,Standard,2020,9,15,,,,57.9,13.9,132898.6,13286.06,4097.0
female,High School or Below,20079.0,Single,Star,4097.37,Standard,2019,6,21,,,,163.2,51.5,347037.1,34697.71,7772.9
male,High School or Below,20079.0,Single,Star,4097.37,Standard,2016,8,18,2017.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
male,Bachelor,51193.0,Married,Star,4100.47,Standard,2020,10,30,2021.0,6.0,1.0,47.5,12.0,61075.3,6104.73,3683.0
female,College,0.0,Single,Star,4101.94,Standard,2016,11,26,,,,271.8,72.1,395271.7,39517.87,14946.0
female,Bachelor,82427.0,Married,Star,4103.85,Standard,2021,1,16,,,,79.0,22.0,144194.0,14416.0,2538.0
female,Bachelor,39492.0,Married,Star,4105.58,2021 Promotion,2021,3,12,,,,22.0,1.0,56331.0,5630.0,0.0
female,College,0.0,Single,Star,4108.26,Standard,2020,6,27,,,,158.5,20.2,269104.3,26902.829999999998,0.0
female,College,0.0,Single,Star,4109.31,Standard,2015,8,21,,,,213.7,72.7,404204.8,40411.78,22920.9
male,Bachelor,86657.0,Married,Star,4109.79,Standard,2015,8,31,,,,166.2,72.0,475566.9,47547.29,26884.1
male,Bachelor,31842.0,Single,Star,4110.62,Standard,2018,7,24,,,,250.7,39.9,436740.7,43665.37,12507.9
female,Bachelor,32210.0,Divorced,Star,4111.2,Standard,2018,9,2,,,,205.6,50.4,435522.0,43542.7,0.0
female,Bachelor,65085.0,Married,Star,4111.89,Standard,2020,5,14,,,,123.4,17.9,237937.4,23787.54,12588.2
female,Bachelor,65085.0,Married,Star,4111.89,Standard,2018,3,17,,,,120.4,31.1,232774.4,23273.34,5766.0
female,Doctor,25030.0,Married,Star,4112.84,Standard,2018,9,12,2019.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
female,College,0.0,Single,Star,4117.37,Standard,2016,7,3,,,,411.7,136.5,802268.0,80210.5,44038.0
male,Bachelor,69379.0,Single,Star,4118.59,Standard,2016,8,28,,,,178.7,67.6,357863.6,35777.66,6013.5
male,Bachelor,69379.0,Single,Star,4118.59,Standard,2020,4,22,,,,231.4,53.7,452769.8,45268.68,18230.9
male,Bachelor,69379.0,Single,Star,4118.59,Standard,2019,12,16,,,,218.5,51.2,546494.8,54643.08,10845.2
male,College,0.0,Single,Star,4121.25,Standard,2015,12,9,,,,232.8,55.6,394108.6,39402.66,8998.4
male,Bachelor,75272.0,Married,Star,4122.57,Standard,2015,9,19,,,,253.20000000000002,47.2,356747.4,35666.54,4369.0
male,High School or Below,24732.0,Married,Star,4122.96,Standard,2016,3,2,,,,218.8,47.9,527935.3,52784.63,0.0
male,Bachelor,34080.0,Married,Star,4126.61,Standard,2017,4,4,,,,102.7,14.3,257009.9,25695.89,7930.6
female,College,0.0,Single,Star,4132.59,2021 Promotion,2021,4,13,,,,31.0,18.0,29620.0,2961.0,0.0
female,Bachelor,35945.0,Divorced,Star,4139.9,Standard,2018,7,25,,,,168.7,50.3,347778.3,34771.73,0.0
male,Bachelor,48263.0,Married,Star,4142.56,Standard,2018,10,10,,,,153.5,50.9,339933.8,33987.18,12849.7
female,Bachelor,64478.0,Married,Star,4144.87,Standard,2015,4,3,,,,0.0,0.0,0.0,0.0,0.0
male,College,0.0,Divorced,Star,4145.02,Standard,2016,7,7,,,,263.7,96.3,328911.6,32883.06,34855.7
male,College,0.0,Single,Star,4152.65,Standard,2015,5,7,,,,146.1,45.9,467605.2,46755.32,13645.0
male,College,0.0,Married,Star,4157.7,Standard,2019,2,10,2019.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
female,Bachelor,96263.0,Married,Star,4160.02,Standard,2016,12,25,2021.0,10.0,5.0,219.7,50.4,349728.8,34964.18,13963.0
male,Bachelor,55897.0,Married,Star,4165.17,Standard,2018,9,13,,,,157.2,20.3,258423.8,25838.38,0.0
female,Bachelor,58299.0,Married,Star,4165.25,Standard,2018,12,26,,,,203.9,43.0,280907.5,28082.35,0.0
female,High School or Below,17161.0,Married,Star,4165.35,Standard,2015,7,2,,,,0.0,0.0,0.0,0.0,0.0
female,College,0.0,Single,Star,4165.99,Standard,2015,5,22,,,,242.6,78.0,503315.0,50320.6,3354.0
male,College,0.0,Married,Star,4167.09,Standard,2021,9,1,,,,40.0,14.0,74921.0,7491.0,2453.0
male,College,0.0,Married,Star,4167.09,Standard,2017,4,20,,,,224.3,62.3,413014.7,41294.07,6292.8
male,Bachelor,56901.0,Married,Star,4167.42,Standard,2016,1,13,,,,193.7,30.3,495252.0,49517.9,9142.8
female,Bachelor,35457.0,Single,Star,4169.36,Standard,2015,9,25,,,,214.2,72.2,480427.7,48033.87,24536.8
female,Bachelor,35457.0,Single,Star,4169.36,Standard,2020,3,26,,,,197.8,42.5,435605.4,43554.34,0.0
male,Bachelor,90310.0,Married,Star,4170.34,Standard,2018,9,25,,,,161.3,39.7,418112.1,41803.01,0.0
male,Bachelor,42837.0,Married,Star,4170.57,Standard,2018,8,6,,,,112.3,19.7,364601.7,36453.77,12908.6
male,Bachelor,29462.0,Single,Star,4170.69,Standard,2020,9,19,,,,106.9,23.0,164946.8,16490.78,5819.0
female,Bachelor,29462.0,Single,Star,4170.69,Standard,2017,12,11,2018.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
female,High School or Below,14108.0,Married,Star,4177.88,Standard,2016,1,23,,,,209.8,51.800000000000004,378765.5,37867.25,15198.099999999999
male,College,0.0,Single,Star,4185.76,Standard,2018,7,31,,,,196.3,68.5,315550.6,31544.16,7111.7
male,College,0.0,Single,Star,4191.06,Standard,2020,6,9,,,,120.5,38.8,285041.9,28500.09,2932.0
female,Bachelor,24641.0,Married,Star,4196.43,Standard,2018,2,26,,,,186.1,36.5,292391.0,29233.5,14756.0
male,College,0.0,Single,Star,4196.65,Standard,2019,5,21,,,,135.3,27.2,250510.5,25046.35,3276.0
male,Bachelor,39913.0,Married,Star,4198.03,Standard,2016,6,18,,,,121.8,49.9,407057.0,40698.2,16904.3
male,Bachelor,30598.0,Married,Star,4198.03,Standard,2021,10,13,2019.0,6.0,-2.0,12.0,4.0,31562.0,3155.0,5754.0
female,Bachelor,30598.0,Married,Star,4198.03,2021 Promotion,2021,2,28,,,,200.6,47.6,426909.5,42682.55,0.0
male,Bachelor,51510.0,Divorced,Star,4200.37,Standard,2020,12,10,,,,35.0,4.0,40377.0,4035.0,0.0
male,Bachelor,74057.0,Married,Star,4202.66,Standard,2016,11,25,,,,194.3,21.7,372439.8,37235.98,10085.0
male,Doctor,10097.0,Married,Star,4212.8,Standard,2017,8,9,,,,172.8,31.8,418253.2,41817.62,4474.0
male,Doctor,12160.0,Married,Star,4213.92,Standard,2020,3,30,,,,127.1,55.3,206378.3,20631.53,0.0
female,College,0.0,Single,Star,4217.86,Standard,2019,11,25,,,,152.7,25.6,511971.0,51190.6,0.0
male,College,0.0,Single,Star,4217.86,Standard,2018,11,10,2019.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
male,College,0.0,Single,Star,4221.31,2021 Promotion,2021,4,12,,,,0.0,0.0,0.0,0.0,0.0
female,Doctor,14170.0,Married,Star,4223.27,Standard,2017,9,7,,,,123.4,40.8,405449.7,40538.27,15263.1
female,Bachelor,77853.0,Single,Star,4228.25,Standard,2016,6,22,2020.0,4.0,4.0,36.1,19.0,106806.6,10679.26,0.0
female,College,0.0,Married,Star,4228.73,2021 Promotion,2021,2,28,,,,194.9,65.5,347612.1,34756.01,4921.0
male,College,0.0,Married,Star,4228.73,Standard,2016,1,3,,,,122.4,28.3,334655.8,33461.18,0.0
male,Bachelor,60334.0,Married,Star,4235.18,Standard,2021,1,31,2021.0,9.0,0.0,56.0,26.0,97405.0,9738.0,0.0
male,Bachelor,60334.0,Married,Star,4235.18,Standard,2017,8,20,2018.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
male,High School or Below,25866.0,Married,Star,4236.3,Standard,2018,3,9,,,,190.6,52.2,387451.3,38738.33,6760.2
female,Bachelor,59038.0,Married,Star,4236.47,Standard,2015,12,26,,,,246.3,43.8,546252.9,54615.29,12499.0
female,Doctor,14476.0,Married,Star,4236.84,Standard,2018,6,8,,,,259.4,79.8,491569.6,49145.86,34130.0
male,Master,29465.0,Married,Star,4237.37,Standard,2020,2,16,,,,216.2,54.8,383853.4,38379.84,23256.9
female,Master,29465.0,Married,Star,4237.37,Standard,2018,10,20,,,,154.2,50.3,330703.8,33062.68,23103.1
female,High School or Below,19834.0,Divorced,Star,4241.64,Standard,2015,8,15,,,,195.7,41.9,492356.7,49226.17,22015.3
male,College,0.0,Single,Star,4242.69,Standard,2020,11,8,2021.0,7.0,1.0,56.7,16.9,106739.4,10670.94,10114.0
female,Bachelor,34220.0,Married,Star,4244.47,Standard,2019,12,7,,,,211.2,71.8,499682.6,49958.46,36821.2
female,Bachelor,44537.0,Married,Star,4247.68,Standard,2015,6,8,,,,182.7,51.7,321464.2,32138.52,2726.0
female,Bachelor,44537.0,Married,Star,4247.68,Standard,2020,4,20,,,,175.8,41.2,243617.3,24358.03,8711.5
female,College,0.0,Single,Star,4250.28,2021 Promotion,2021,4,10,2021.0,12.0,0.0,33.0,17.0,62724.0,6271.0,6105.0
male,College,0.0,Single,Star,4250.28,Standard,2019,10,23,,,,257.4,42.4,429850.7,42974.17,17944.1
female,College,0.0,Single,Star,4250.28,Standard,2018,8,15,,,,118.9,16.5,361074.5,36099.55,0.0
male,Bachelor,27608.0,Divorced,Star,4250.78,Standard,2019,12,3,,,,0.0,0.0,0.0,0.0,0.0
male,College,0.0,Single,Star,4253.28,Standard,2019,8,2,,,,135.7,48.6,318433.2,31837.72,27911.1
female,Doctor,11904.0,Single,Star,4254.62,Standard,2016,7,6,,,,241.7,19.0,383304.2,38323.62,0.0
male,Doctor,11904.0,Single,Star,4254.62,Standard,2018,2,5,,,,206.1,46.6,491042.3,49095.33,14021.0
male,College,0.0,Married,Star,4270.03,Standard,2018,4,24,,,,127.8,36.6,365019.7,36498.07,0.0
female,College,0.0,Married,Star,4270.03,2021 Promotion,2021,4,23,,,,199.8,53.6,461043.6,46095.96,8681.0
male,Bachelor,26245.0,Single,Star,4271.2,Standard,2021,5,11,2019.0,1.0,-2.0,33.0,13.0,46085.0,4607.0,0.0
female,College,0.0,Single,Star,4272.81,Standard,2016,8,10,,,,191.4,28.3,427324.2,42726.12,4398.0
male,College,0.0,Single,Star,4272.81,Standard,2016,11,25,2019.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
female,Bachelor,82214.0,Married,Star,4273.59,Standard,2017,8,5,,,,216.7,54.1,382563.5,38247.35,17614.2
male,Bachelor,39621.0,Married,Star,4274.62,Standard,2020,5,26,,,,145.8,9.9,245081.1,24501.61,0.0
male,Bachelor,36692.0,Married,Star,4276.36,Standard,2017,10,13,,,,126.0,43.5,387283.8,38723.08,12331.0
female,Bachelor,77265.0,Married,Star,4277.27,Standard,2016,6,16,,,,256.0,39.6,417711.6,41762.46,8191.0
male,Bachelor,75921.0,Married,Star,4277.56,Standard,2019,10,16,,,,301.4,64.5,512790.0,51269.3,21974.7
male,Bachelor,40864.0,Married,Star,4282.95,Standard,2021,8,31,,,,15.0,5.0,54425.0,5442.0,11478.0
female,Bachelor,40864.0,Married,Star,4282.95,Standard,2016,8,3,,,,225.8,48.6,462115.9,46201.39,4465.0
female,Bachelor,40864.0,Married,Star,4282.95,Standard,2020,10,11,,,,82.8,26.5,214159.7,21411.17,15930.2
female,Bachelor,40864.0,Married,Star,4282.95,Standard,2019,12,1,,,,155.8,37.6,247843.1,24779.51,0.0
female,College,0.0,Single,Star,4291.06,Standard,2021,5,7,,,,138.5,31.8,383189.1,38311.71,0.0
male,College,0.0,Single,Star,4293.01,Standard,2018,3,15,,,,123.6,27.3,381654.0,38159.3,0.0
female,Bachelor,61737.0,Married,Star,4296.6,Standard,2018,3,2,,,,117.1,34.2,324577.8,32452.88,6047.7
